大字,丁目
古国分,三丁目
別宮町,一丁目
別宮町,二丁目
別宮町,三丁目
別宮町,四丁目
別宮町,五丁目
別宮町,六丁目
別宮町,七丁目
別宮町,八丁目
別宮町,九丁目
別名,
本町,一丁目
本町,二丁目
本町,三丁目
本町,四丁目
本町,五丁目
本町,六丁目
本町,七丁目
孫兵衛作,
町谷,
松木,
松本町,一丁目
松本町,二丁目
松本町,三丁目
松本町,四丁目
松本町,五丁目
美須賀町,一丁目
美須賀町,二丁目
美須賀町,三丁目
美須賀町,四丁目
湊町,一丁目
湊町,二丁目
南高下町,一丁目
南高下町,二丁目
南高下町,三丁目
南高下町,四丁目
南大門町,一丁目
南大門町,二丁目
南大門町,三丁目
南大門町,四丁目
南鳥生町,一丁目
南鳥生町,二丁目
南鳥生町,三丁目
南鳥生町,四丁目
南日吉町,一丁目
南日吉町,二丁目
南日吉町,三丁目
南宝来町,一丁目
南宝来町,二丁目
南宝来町,三丁目
美保町,一丁目
美保町,二丁目
美保町,三丁目
宮窪町四阪島,
宮窪町友浦,
宮窪町早川,
宮窪町宮窪,
宮窪町余所国,
宮下町,一丁目
宮下町,二丁目
宮下町,三丁目
室屋町,一丁目
室屋町,二丁目
室屋町,三丁目
室屋町,四丁目
室屋町,五丁目
室屋町,六丁目
室屋町,七丁目
矢田,
山方町,一丁目
山方町,二丁目
山口,
山路,
山路町,一丁目
湯ノ浦,
横田町,一丁目
横田町,二丁目
横田町,三丁目
横田町,四丁目
吉海町幸新田,
吉海町正味,
吉海町田浦,
吉海町津島,
吉海町泊,
吉海町名駒,
吉海町仁江,
吉海町福田,
吉海町臥間,
吉海町南浦,
吉海町名,
吉海町椋名,
吉海町八幡,
四村,
吉海町本庄,
砂場町,一丁目
砂場町,二丁目
蔵敷,
大浜,
波方町河之内,
八町,
朝倉上之,
