校区,施設名称,所在地,lat,lon,電話番号,収容人数,新旧耐震別,土砂,洪水計画,洪水最大,高潮,内水既往,内水最大,津波
日高,日高公民館,今治市小泉4丁目11-28,34.0472804,132.9795386,0898-32-0074,129,新耐震,○,○,2階以上可,○,○,2階以上可,○
日高,日高小学校,今治市別名446-2,34.045875,132.9761093,0898-22-2548,1032,新耐震,○,○,2階以上可,○,○,○,○
日高,日高保育所,今治市別名549-1,34.0461216,132.9752554,0898-23-1512,173,旧耐震,○,○,2階以上可,○,○,○,○
乃万,西中学校,今治市山路554-3,34.0580748,132.9763776,0898-22-0411,1476,新耐震,○,○,○,○,2階以上可,2階以上可,○
乃万,乃万公民館,今治市延喜甲237-5,34.064968,132.958853,0898-32-0001,72,旧耐震,○,○,○,○,○,○,○
乃万,乃万小学校,今治市延喜甲349,34.0644169,132.957312,0898-32-2569,1106,新耐震,○,○,○,○,2階以上可,2階以上可,○
乃万,乃万保育所,今治市延喜甲365-2,34.063459,132.95722,0898-22-6289,181,旧耐震,○,○,○,○,○,○,○
乃万,今治明徳短期大学,今治市矢田甲688,34.0603648,132.9692993,0898-22-7279,2440,旧耐震,○,○,○,○,2階以上可,2階以上可,○
波止浜,波止浜公民館,今治市地堀1丁目3-47,34.1058957,132.966118,0898-41-9012,76,旧耐震,○,○,○,2階以上可,○,○,2階以上可
波止浜,波止浜小学校,今治市地堀1丁目3-40,34.1059213,132.9651767,0898-41-9049,856,新耐震,○,○,○,2階以上可,2階以上可,2階以上可,2階以上可
波止浜,北郷中学校,今治市中堀4丁目1-1,34.101178,132.958526,0898-41-9051,1275,新耐震,○,○,○,3階以上可,2階以上可,2階以上可,○
朝倉,旧上朝小学校体育館,今治市朝倉上甲776-1,33.9764924,133.0064667,0898-56-2500,240,新耐震,○,－,－,○,－,－,○
朝倉,朝倉中学校,今治市朝倉北甲273,33.9980085,133.0169793,0898-56-2016,837,新耐震,○,－,－,○,－,－,○
朝倉,朝倉小学校,今治市朝倉北甲281,33.998496,133.01666,0898-56-2004,577,新耐震,○,－,－,○,－,－,○
朝倉,朝倉公民館,今治市朝倉北甲393,33.996022,133.022302,0898-56-2024,290,旧耐震,○,－,－,○,－,－,○
朝倉,朝倉福祉センター,今治市朝倉下甲529,33.9993694,133.01665,0898-56-3560,128,新耐震,○,－,－,○,－,－,○
朝倉,朝倉Ｂ＆Ｇ海洋センター,今治市朝倉下乙104-2,34.0005075,133.0067545,0898-56-3466,715,新耐震,○,－,－,○,－,－,○
朝倉,朝倉ふれあい交流センター,今治市朝倉下乙104-2,34.0004079,133.0063371,0898-36-7021,127,新耐震,○,－,－,○,－,－,○
鴨部,玉川中学校,今治市玉川町高野甲21,34.0186569,132.9433841,0898-55-2019,871,新耐震,×,○,○,○,－,－,○
鴨部,鴨部小学校,今治市玉川町中村甲574-1,34.0220274,132.9558779,0898-55-2115,565,新耐震,×,○,○,○,－,－,○
鴨部,日の出保育所,今治市玉川町小鴨部甲230-2,34.0264986,132.9643825,0898-55-3032,48,旧耐震,×,○,×,○,－,－,○
九和,九和小学校,今治市玉川町摺木甲71-1,34.0210449,132.9388244,0898-55-2117,570,新耐震,○,○,○,○,－,－,○
九和,九和保育所,今治市玉川町大野甲86-3,34.0211027,132.9441406,0898-55-3132,140,旧耐震,○,○,○,○,－,－,○
九和,鈍川収蔵庫（旧鈍川小学校）,今治市玉川町鈍川丙226,33.9866696,132.9573406,0898-55-2211,254,旧耐震,×,○,○,○,－,－,○
九和,玉川総合公園体育館,今治市玉川町摺木甲108,34.0224957,132.9353615,0898-55-4656,649,新耐震,×,○,○,○,－,－,○
九和,玉川艇庫,今治市玉川町龍岡下乙17,33.9924221,132.9148793,0898-55-2211,134,新耐震,○,○,○,○,－,－,○
九和,玉川公民館,今治市玉川町三反地甲10-1,34.0190871,132.9416898,0898-55-2701,107,旧耐震(平成29年耐震診断で耐震有),○,○,○,○,－,－,○
波方,波方小学校,今治市波方町養老甲803-1,34.1048299,132.9457544,0898-41-9122,1124,新耐震,×,－,－,○,○,○,○
波方,樋口保育所,今治市波方町養老甲1024,34.101287,132.9474922,0898-41-7241,215,新耐震,×,－,－,2階以上可,2階以上可,2階以上可,○
波方,なみっこ交流館,今治市波方町波方甲2029,34.1189478,132.9531002,0898-41-9770,294,新耐震,×,－,－,2階以上可,－,－,○
波方,旧小部老人福祉センター,今治市波方町小部甲832-2,34.1069092,132.9289903,,94,新耐震,○,－,－,×,○,○,×
波方,波方公民館,今治市波方町樋口甲253,34.097837,132.952085,0898-41-7111,450,新耐震,○,－,－,2階以上可,○,○,○
波方,波方公園武道館,今治市波方町樋口乙730,34.1041021,132.9503139,0898-41-5598,381,新耐震,×,－,－,○,○,○,○
波方,国立波方海上技術短期大学校,今治市波方町波方甲1634-1,34.1182963,132.9570803,0898-41-9640,336,新耐震,×,－,－,○,－,－,○
波方,波方ふれあいセンター,今治市波方町波方甲1641,34.1195024,132.9558321,0898-41-7111,144,旧耐震,○,－,－,2階以上可,－,－,○
大西,大西体育館,今治市大西町新町甲797,34.064444,132.925314,0898-53-5040,753,新耐震,○,－,－,×,○,○,○
大西,大西中学校,今治市大西町九王甲 2280-1,34.065748,132.926644,0898-53-2038,761,新耐震,○,－,－,3階以上可,○,○,2階以上可
大西,大西小学校,今治市大西町大井浜103,34.0637896,132.9233096,0898-53-2037,817,新耐震,○,－,－,3階以上可,○,2階以上可,2階以上可
大西,大西公民館,今治市大西町宮脇甲506-1,34.06044,132.925083,0898-53-3500,215,新耐震,○,－,－,○,○,○,○
大西,旧大西老人福祉センター,今治市大西町宮脇甲501-2,34.0610527,132.9252537,0898-53-5380,112,新耐震,○,－,－,○,○,○,○
大西,大西藤山歴史資料館,今治市大西町宮脇乙579-1,34.0599398,132.9291141,0898-53-2313,33,新耐震,○,－,－,○,○,○,○
亀岡,亀岡小学校,今治市菊間町種52,34.0550607,132.8728633,0898-54-2163,577,新耐震,○,－,－,3階以上可,－,－,2階以上可
亀岡,太陽石油四国研修センター,今治市菊間町佐方2135-1,34.053881,132.874824,0898-54-3450,231,新耐震,○,－,－,2階以上可,－,－,○
亀岡,産業振興センター,今治市菊間町種147-2,34.0527959,132.8720039,0898-54-3450,140,新耐震,×,－,－,○,－,－,○
菊間,菊間中学校,今治市菊間町浜2628-1,34.0317334,132.8530052,0898-54-2069,954,新耐震,×,－,－,○,－,－,○
菊間,菊間小学校,今治市菊間町長坂2000-1,34.0328633,132.8457161,0898-54-2025,790,新耐震,○,－,－,○,－,－,○
菊間,菊間保育所,今治市菊間町長坂1999,34.032711,132.8450013,0898-54-2209,100,新耐震,○,－,－,○,－,－,○
菊間,菊間緑の広場公園体育館,今治市菊間町池原1463-2,34.0310482,132.8621075,0898-54-5730,1466,新耐震,○,－,－,○,－,－,○
菊間,菊間公民館,今治市菊間町浜840,34.034096,132.842266,0898-54-5310,388,新耐震,○,－,－,2階以上可,－,－,2階以上可
吉海,吉海小学校,今治市吉海町八幡157,34.1449618,133.0409906,0897-84-2609,733,新耐震,○,－,－,3階以上可,－,－,2階以上可
吉海,大島中学校,今治市吉海町幸新田250,34.1435964,133.041045,0897-84-2706,735,新耐震,×,－,－,3階以上可,－,－,2階以上可
吉海,吉海学習交流館,今治市吉海町八幡137,34.145664,133.043132,0897-84-4700,336,新耐震,○,－,－,×,－,－,2階以上可
吉海,旧吉海老人福祉センター,今治市吉海町名1466,34.1334471,133.0408449,0897-84-4110,144,旧耐震,○,－,－,○,－,－,○
吉海,吉海認定こども園,今治市吉海町八幡56,34.146967,133.045069,0897-84-2108,227,新耐震,○,－,－,×,－,－,2階以上可
宮窪,宮窪小学校,今治市宮窪町宮窪4765,34.172166,133.072524,0897-86-2117,601,新耐震,×,－,－,○,－,－,○
宮窪,宮窪公民館,今治市宮窪町宮窪2669,34.172947,133.07606,0897-86-3238,390,旧耐震,○,－,－,2階以上可,－,－,○
宮窪,宮窪認定こども園,今治市宮窪町宮窪2901,34.1711022,133.0751753,0897-86-3412,262,旧耐震,×,－,－,○,－,－,○
宮窪,宮窪石文化伝承館,今治市宮窪町宮窪3546,34.1608375,133.0719759,0897-86-2456,744,新耐震,○,－,－,○,－,－,○
宮窪,旧宮窪保健センター,今治市宮窪町宮窪3544-2,34.1615461,133.0719202,0897-74-1023,242,新耐震,○,－,－,○,－,－,○
宮窪,村上海賊ミュージアム,今治市宮窪町宮窪1285,34.16895,133.0876517,0897-74-1065,54,新耐震,○,－,－,○,－,－,○
伯方,伯方中学校,今治市伯方町木浦甲4134-1,34.2122198,133.1067027,0897-72-1055,751,新耐震,×,－,－,○,－,－,○
伯方,伯方認定こども園,今治市伯方町木浦甲1200-1,34.2058892,133.1123593,0897-72-0227,323,新耐震,○,－,－,○,－,－,○
伯方,伯方小学校,今治市伯方町木浦甲3599-2,34.2049171,133.111277,0897-72-0030,785,新耐震,×,－,－,○,－,－,○
伯方,旧伯方福祉センター,今治市伯方町木浦甲3930-1,34.2117115,133.1130804,0897-74-2123,196,新耐震,×,－,－,2階以上可,－,－,○
伯方,今治西高等学校伯方分校,今治市伯方町有津甲2358,34.2018747,133.1015648,0897-72-0034,817,新耐震,○,－,－,2階以上可,－,－,○
伯方,伯方開発総合センター,今治市伯方町叶浦甲1668-30,34.2028379,133.0745575,0897-72-2725,231,新耐震,○,－,－,2階以上可,－,－,○
伯方,旧西伯方地域住民学習センター,今治市伯方町叶浦甲1666-5,34.2068361,133.0738307,0897-72-1500,90,新耐震,○,－,－,2階以上可,－,－,○
伯方,伯方農村環境改善センター,今治市伯方町北浦甲2178,34.2262851,133.0948561,0897-73-0230,146,新耐震,×,－,－,○,－,－,○
伯方,旧伯方北浦体育館,今治市伯方町北浦甲2313,34.2311557,133.0958849,0897-72-1500,243,旧耐震,×,－,－,×,－,－,○
伯方,しまなみ交流プラザ,今治市伯方町木浦甲1200-1,34.2052753,133.1126671,0897-72-2775,96,新耐震,×,－,－,○,－,－,○
上浦,上浦小学校,今治市上浦町井口4497-1,34.2630349,133.0315709,0897-87-2011,493,新耐震,×,－,－,○,－,－,○
上浦,大三島中学校,今治市上浦町井口5610,34.2645821,133.0372242,0897-87-3400,894,新耐震,○,－,－,2階以上可,－,－,○
上浦,上浦認定こども園,今治市上浦町井口5931-1,34.263481,133.0379141,0897-87-2385,68,旧耐震,○,－,－,×,－,－,○
上浦,上浦開発総合センター,今治市上浦町井口5931-1,34.263325,133.037382,0897-87-3300,302,旧耐震,○,－,－,2階以上可,－,－,○
上浦,旧上浦盛研修センター,今治市上浦町盛2642,34.2912029,133.0258609,0897-87-3000,220,旧耐震,○,－,－,○,－,－,○
上浦,旧上浦保健センター,今治市上浦町甘崎3878-1,34.2359617,133.0522747,0897-87-4274,195,新耐震,○,－,－,×,－,－,○
大三島,大三島公民館,今治市大三島町宮浦5708,34.24887,132.995157,0897-82-0500,382,旧耐震,○,－,－,2階以上可,○,○,2階以上可
大三島,大三島少年自然の家,今治市大三島町肥海4762-1,34.2684039,132.9830249,0897-82-0311,500,新耐震,○,－,－,×,－,－,○
大三島,大三島認定こども園,今治市大三島町明日2493-1,34.2515142,132.9973384,0897-82-0164,254,旧耐震,○,－,－,×,－,－,×
大三島,大三島小学校,今治市大三島町宮浦5145,34.2467799,133.0007779,0897-82-0027,581,新耐震,×,－,－,3階以上可,○,○,○
大三島,旧大三島老人福祉センター,今治市大三島町宗方3621,34.2017195,132.952159,0897-82-0500,110,旧耐震,○,－,－,×,－,－,×
岡村,岡村小学校,今治市関前岡村甲415,34.1879901,132.8835669,0897-88-2531,117,新耐震,×,－,－,○,－,－,○
岡村,関前中学校,今治市関前岡村甲415,34.1879856,132.8831109,0897-88-2104,132,新耐震,×,－,－,○,－,－,○
岡村,関前開発総合センター,今治市関前岡村甲2-5,34.1842845,132.8861296,0897-88-2211,299,旧耐震,×,－,－,2階以上可,－,－,○
岡村,岡村小学校僻地集会室,今治市関前岡村甲697-1,34.184732,132.883765,0897-88-2111,262,新耐震,○,－,－,2階以上可,－,－,○
岡村,大下地区農産物加工場,今治市関前大下甲1856-1,34.189232,132.9232385,0897-88-2111,22,新耐震,○,－,－,×,－,－,2階以上可
岡村,大下集会所,今治市関前大下甲1856-2,34.1892941,132.9230776,0897-88-2728,68,新耐震,×,－,－,×,－,－,×
岡村,小大下出張診療所,今治市関前小大下甲2115-1,34.1903447,132.9012024,0897-88-2900,6,新耐震,○,－,－,○,－,－,○
岡村,小大下地区住民センター,今治市関前小大下乙1352-2,34.190208,132.900388,0897-88-2901,15,新耐震,○,－,－,×,－,－,○
